País,Variable,Código CINE,Nivel CINE,Grado,Población,Year,value,Definicion_variable
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-1,Educación primaria,,Hombres,2018,1571.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-1,Educación primaria,,Mujeres,2018,1700.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-2,Educación secundaria baja,,Total,2018,1040.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-2,Educación secundaria baja,,Hombres,2018,470.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-2,Educación secundaria baja,,Mujeres,2018,570.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-3,Educación secundaria alta,,Total,2018,214.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-3,Educación secundaria alta,,Hombres,2018,87.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-3,Educación secundaria alta,,Mujeres,2018,127.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔",CINE-1,Educación primaria,,Total,2018,789067.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-1,Educación primaria,,Hombres,2018,402094.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-1,Educación primaria,,Mujeres,2018,386973.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-2,Educación secundaria baja,,Total,2018,588849.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-2,Educación secundaria baja,,Hombres,2018,280278.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-2,Educación secundaria baja,,Mujeres,2018,308571.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-3,Educación secundaria alta,,Total,2018,475065.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-3,Educación secundaria alta,,Hombres,2018,218248.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Colombia,"𝐼𝐺𝑛,𝑔",CINE-3,Educación secundaria alta,,Mujeres,2018,256817.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Ecuador,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Total,2018,5908.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Ecuador,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,2018,2900.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Ecuador,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,2018,3008.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Ecuador,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,2018,4807.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Ecuador,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,2018,1101.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Ecuador,𝐼𝑔𝑀,CINE-1,Educación primaria,,Total,2018,19049.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Ecuador,𝐼𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,9514.0,Número de matriculados en situación de movilidad al inicio del año escolar.
